"b'2.3790433'","b'1.1191252'","b'0.9778915'","b'221862440000000.0'","b'1650646800000000.0'","b'355698320000000.0'","b'31'","b'9.116356'","b'-79.39507'","b'12548.572'","b'2020-01-01T18:44:36.874Z'"
"b'2.5623703'","b'1.212055'","b'1.1871219'","b'208615550000000.0'","b'1699598400000000.0'","b'371661500000000.0'","b'49'","b'8.941993'","b'-79.67492'","b'24032.965'","b'2020-03-15T19:21:40.624Z'"
"b'2.738941'","b'1.3168353'","b'1.2594569'","b'211349170000000.0'","b'1699598400000000.0'","b'371048260000000.0'","b'36'","b'9.051099'","b'-79.511154'","b'3463.3765'","b'2020-03-16T18:26:40.380Z'"
"b'2.2263188'","b'1.147907'","b'1.8228674'","b'89597450000000.0'","b'1699598400000000.0'","b'372132200000000.0'","b'51'","b'9.041244'","b'-79.39026'","b'9967.751'","b'2020-03-17T19:09:23.253Z'"
"b'3.4287488'","b'1.4584054'","b'1.763296'","b'178088000000000.0'","b'1699598400000000.0'","b'368284600000000.0'","b'37'","b'8.921851'","b'-79.769615'","b'34409.04'","b'2020-03-18T18:14:31.014Z'"
"b'2.0697384'","b'1.1180549'","b'1.5980364'","b'113202185000000.0'","b'1699598400000000.0'","b'371325960000000.0'","b'48'","b'9.07971'","b'-79.39904'","b'9931.483'","b'2020-03-19T18:57:07.884Z'"
"b'3.5135481'","b'1.3877549'","b'1.1902431'","b'243816170000000.0'","b'1699598400000000.0'","b'372109520000000.0'","b'49'","b'9.069525'","b'-79.58189'","b'11496.465'","b'2020-03-20T19:40:12.761Z'"
"b'2.1752262'","b'1.2304088'","b'0.8067836'","b'248291930000000.0'","b'1699598400000000.0'","b'371209730000000.0'","b'52'","b'9.068257'","b'-79.3705'","b'12483.897'","b'2020-03-21T18:44:54.518Z'"
"b'2.8040617'","b'1.2496061'","b'1.0309951'","b'241101210000000.0'","b'1699598400000000.0'","b'372109520000000.0'","b'47'","b'9.012179'","b'-79.6763'","b'21708.332'","b'2020-03-22T19:27:51.392Z'"
"b'2.49732'","b'1.3242589'","b'1.2966162'","b'195022250000000.0'","b'1699598400000000.0'","b'373102600000000.0'","b'46'","b'8.995124'","b'-79.41644'","b'8802.059'","b'2020-03-23T18:32:43.155Z'"
"b'2.3967538'","b'1.1847996'","b'1.0807472'","b'215414080000000.0'","b'1699598400000000.0'","b'371209600000000.0'","b'51'","b'9.053993'","b'-79.35334'","b'14085.754'","b'2020-03-24T19:15:32.027Z'"
"b'3.0005858'","b'1.3569982'","b'1.5300286'","b'187379900000000.0'","b'1699598400000000.0'","b'368284450000000.0'","b'34'","b'9.100735'","b'-79.40732'","b'10400.595'","b'2020-03-25T18:20:35.787Z'"
"b'2.1178255'","b'1.1266572'","b'1.0610679'","b'202955060000000.0'","b'1699598400000000.0'","b'371119270000000.0'","b'51'","b'9.077774'","b'-79.37052'","b'12770.512'","b'2020-03-26T19:03:14.658Z'"
"b'3.7250438'","b'1.4961302'","b'1.9280736'","b'172268720000000.0'","b'1699598400000000.0'","b'369551070000000.0'","b'36'","b'9.006003'","b'-79.53986'","b'7605.336'","b'2020-03-27T18:08:26.419Z'"
"b'3.8134463'","b'1.4400235'","b'1.8068774'","b'179692840000000.0'","b'1699598400000000.0'","b'371880680000000.0'","b'50'","b'9.023501'","b'-79.899475'","b'46014.22'","b'2020-03-27T19:46:21.533Z'"
"b'2.0894995'","b'1.2712799'","b'0.2082674'","b'341209100000000.0'","b'1699598400000000.0'","b'373102470000000.0'","b'72'","b'9.032942'","b'-79.39681'","b'9302.344'","b'2020-03-28T18:50:59.290Z'"
"b'3.0735111'","b'1.3172221'","b'1.1021702'","b'240569300000000.0'","b'1699598400000000.0'","b'371048130000000.0'","b'50'","b'8.983729'","b'-79.845764'","b'40591.19'","b'2020-03-29T19:34:00.168Z'"
"b'2.3044503'","b'1.2699325'","b'0.98239434'","b'228388640000000.0'","b'1699598400000000.0'","b'371031350000000.0'","b'48'","b'9.070552'","b'-79.36191'","b'13461.008'","b'2020-03-30T18:38:47.925Z'"
"b'2.5583456'","b'1.2007726'","b'1.2134835'","b'204447020000000.0'","b'1699598400000000.0'","b'371880550000000.0'","b'48'","b'9.053441'","b'-79.68739'","b'22706.398'","b'2020-03-31T19:21:40.800Z'"
"b'2.721078'","b'1.4093555'","b'1.5664787'","b'230339100000000.0'","b'1703532600000000.0'","b'497015900000000.0'","b'35'","b'9.056412'","b'-79.5014'","b'2755.4382'","b'2020-04-01T18:26:38.560Z'"
"b'2.213155'","b'1.2312496'","b'1.891714'","b'106114680000000.0'","b'1703532600000000.0'","b'500246800000000.0'","b'52'","b'9.047232'","b'-79.38159'","b'10934.818'","b'2020-04-02T19:09:21.433Z'"
"b'3.4131303'","b'1.5760182'","b'1.9280387'","b'217161600000000.0'","b'1703532600000000.0'","b'494671800000000.0'","b'36'","b'8.932103'","b'-79.763214'","b'33326.81'","b'2020-04-03T18:14:29.194Z'"
"b'2.0601118'","b'1.1886208'","b'1.0970562'","b'262391360000000.0'","b'1703532600000000.0'","b'498952400000000.0'","b'48'","b'9.091034'","b'-79.39386'","b'11015.989'","b'2020-04-04T18:57:06.066Z'"
"b'3.497318'","b'1.5328394'","b'1.9407258'","b'209395360000000.0'","b'1703532600000000.0'","b'500009500000000.0'","b'52'","b'9.081361'","b'-79.57753'","b'11470.959'","b'2020-04-05T19:40:10.946Z'"
"b'2.1633427'","b'1.2557315'","b'1.1722505'","b'258408320000000.0'","b'1703532600000000.0'","b'500178470000000.0'","b'44'","b'9.0854225'","b'-79.36882'","b'13234.3'","b'2020-04-06T18:44:52.707Z'"
"b'2.798523'","b'1.3753681'","b'1.4952308'","b'241916720000000.0'","b'1703532600000000.0'","b'500009620000000.0'","b'51'","b'9.029751'","b'-79.675545'","b'21413.34'","b'2020-04-07T19:27:49.585Z'"
"b'2.487069'","b'1.418092'","b'1.3889152'","b'245174450000000.0'","b'1703532600000000.0'","b'500246800000000.0'","b'47'","b'9.016911'","b'-79.41799'","b'7462.733'","b'2020-04-08T18:32:41.347Z'"
"b'2.3893282'","b'1.2954618'","b'1.4532428'","b'216653320000000.0'","b'1703532600000000.0'","b'499981040000000.0'","b'56'","b'9.07634'","b'-79.35587'","b'14264.651'","b'2020-04-09T19:15:30.222Z'"
"b'2.9864542'","b'1.5205857'","b'1.3991278'","b'278874240000000.0'","b'1703532600000000.0'","b'499954200000000.0'","b'41'","b'9.007399'","b'-79.38379'","b'11350.913'","b'2020-04-10T18:20:31.984Z'"
"b'2.1120522'","b'1.193458'","b'1.025226'","b'280156690000000.0'","b'1703532600000000.0'","b'496115430000000.0'","b'49'","b'9.107003'","b'-79.37696'","b'13522.262'","b'2020-04-11T19:03:12.859Z'"
"b'3.7229106'","b'1.6442422'","b'1.7561004'","b'260814170000000.0'","b'1703532600000000.0'","b'494671650000000.0'","b'37'","b'9.040901'","b'-79.54827'","b'7390.3633'","b'2020-04-12T18:08:24.622Z'"
"b'3.8225055'","b'1.6133072'","b'0.5719951'","b'427834440000000.0'","b'1703532600000000.0'","b'497953940000000.0'","b'55'","b'8.93788'","b'-79.88452'","b'45818.562'","b'2020-04-12T19:46:17.736Z'"
"b'2.0866978'","b'1.2543468'","b'1.2929287'","b'223704710000000.0'","b'1703532600000000.0'","b'500178470000000.0'","b'54'","b'9.072714'","b'-79.40639'","b'8878.913'","b'2020-04-13T18:50:57.495Z'"
"b'3.0763495'","b'1.4561654'","b'1.1717453'","b'315077860000000.0'","b'1703532600000000.0'","b'498952660000000.0'","b'54'","b'9.027178'","b'-79.855995'","b'41224.83'","b'2020-04-14T19:33:58.373Z'"
"b'2.2997382'","b'1.2825794'","b'1.4180998'","b'218662290000000.0'","b'1703532600000000.0'","b'493518320000000.0'","b'37'","b'9.120425'","b'-79.3745'","b'14591.827'","b'2020-04-15T18:38:46.133Z'"
"b'2.5539973'","b'1.3253171'","b'1.3097385'","b'259145040000000.0'","b'1703532600000000.0'","b'500009620000000.0'","b'53'","b'8.986239'","b'-79.676285'","b'22331.07'","b'2020-04-16T19:21:37.008Z'"
"b'2.720953'","b'1.4594053'","b'1.5769297'","b'230059920000000.0'","b'1703532600000000.0'","b'499921980000000.0'","b'42'","b'8.995688'","b'-79.48881'","b'5221.978'","b'2020-04-17T18:26:34.775Z'"
"b'2.2217565'","b'1.173232'","b'0.5262439'","b'397662570000000.0'","b'1703532600000000.0'","b'502422600000000.0'","b'40'","b'9.00175'","b'-79.374054'","b'12572.146'","b'2020-04-18T19:09:17.652Z'"
"b'3.412106'","b'1.5754666'","b'2.0358593'","b'200158500000000.0'","b'1703532600000000.0'","b'494053700000000.0'","b'36'","b'9.021132'","b'-79.78384'","b'33346.62'","b'2020-04-19T18:14:27.419Z'"
"b'2.062564'","b'1.2019986'","b'1.5977836'","b'153049680000000.0'","b'1703532600000000.0'","b'499981040000000.0'","b'50'","b'9.077001'","b'-79.389435'","b'10784.561'","b'2020-04-20T18:57:02.292Z'"
"b'3.5017498'","b'1.5378822'","b'1.3676147'","b'303967050000000.0'","b'1703532600000000.0'","b'500009620000000.0'","b'52'","b'9.084134'","b'-79.57695'","b'11533.932'","b'2020-04-21T19:40:07.177Z'"
"b'2.1686072'","b'1.2296515'","b'1.3038431'","b'229757530000000.0'","b'1703532600000000.0'","b'497015760000000.0'","b'39'","b'9.10291'","b'-79.36794'","b'14145.491'","b'2020-04-22T18:44:48.943Z'"
"b'2.805342'","b'1.381883'","b'1.1530617'","b'304416800000000.0'","b'1703532600000000.0'","b'498952660000000.0'","b'51'","b'9.064627'","b'-79.67795'","b'21778.791'","b'2020-04-23T19:27:45.831Z'"
"b'2.494592'","b'1.3638138'","b'0.6096868'","b'391635920000000.0'","b'1703532600000000.0'","b'500009620000000.0'","b'39'","b'9.068089'","b'-79.42165'","b'7135.276'","b'2020-04-24T18:32:37.598Z'"
"b'2.3927085'","b'1.2475725'","b'1.2582909'","b'257828360000000.0'","b'1703532600000000.0'","b'501312740000000.0'","b'45'","b'9.023908'","b'-79.33757'","b'15883.306'","b'2020-04-25T19:15:24.479Z'"
"b'2.992245'","b'1.4909668'","b'1.5300908'","b'255274200000000.0'","b'1703532600000000.0'","b'496115430000000.0'","b'37'","b'9.090468'","b'-79.392296'","b'11134.986'","b'2020-04-26T18:20:28.245Z'"
"b'2.1132061'","b'1.201101'","b'0.33910587'","b'427921820000000.0'","b'1703532600000000.0'","b'497015760000000.0'","b'50'","b'9.060257'","b'-79.58845'","b'11975.602'","b'2020-04-27T19:03:07.120Z'"
"b'3.7235866'","b'1.6357722'","b'2.0926976'","b'211588480000000.0'","b'1703532600000000.0'","b'495358980000000.0'","b'36'","b'9.037351'","b'-79.53184'","b'5608.1245'","b'2020-04-28T18:08:18.889Z'"
"b'3.831814'","b'1.6103326'","b'1.1788652'","b'344009300000000.0'","b'1703532600000000.0'","b'497953940000000.0'","b'53'","b'8.934721'","b'-79.87431'","b'44826.824'","b'2020-04-28T19:46:12.002Z'"
"b'2.0938983'","b'1.2167578'","b'1.0462912'","b'277971220000000.0'","b'1703532600000000.0'","b'500178470000000.0'","b'46'","b'9.079521'","b'-79.39432'","b'10395.535'","b'2020-04-29T18:50:51.768Z'"
"b'3.08239'","b'1.4534144'","b'1.7742733'","b'211665790000000.0'","b'1703532600000000.0'","b'498952520000000.0'","b'52'","b'9.011261'","b'-79.842094'","b'39812.855'","b'2020-04-30T19:33:52.653Z'"
"b'2.3034422'","b'1.3177053'","b'1.160619'","b'301694340000000.0'","b'1698366400000000.0'","b'550311880000000.0'","b'43'","b'9.083417'","b'-79.35476'","b'14611.206'","b'2020-05-01T18:38:40.421Z'"
"b'2.562848'","b'1.3217975'","b'1.1648858'","b'316776000000000.0'","b'1698366400000000.0'","b'548861000000000.0'","b'51'","b'9.047038'","b'-79.6799'","b'21855.145'","b'2020-05-02T19:21:33.305Z'"
"b'2.7266583'","b'1.4348184'","b'1.0228326'","b'362246400000000.0'","b'1698366400000000.0'","b'550587960000000.0'","b'39'","b'9.034752'","b'-79.48918'","b'1207.3064'","b'2020-05-03T18:26:31.074Z'"
"b'2.229885'","b'1.1873952'","b'0.65284'","b'409655600000000.0'","b'1698366400000000.0'","b'552803360000000.0'","b'42'","b'9.018487'","b'-79.371155'","b'12346.408'","b'2020-05-04T19:09:13.955Z'"
"b'3.419718'","b'1.5682586'","b'1.1996076'","b'362714150000000.0'","b'1698366400000000.0'","b'544063500000000.0'","b'35'","b'9.01653'","b'-79.77558'","b'32482.934'","b'2020-05-05T18:14:23.729Z'"
"b'2.0747628'","b'1.2100819'","b'0.686885'","b'391475130000000.0'","b'1698366400000000.0'","b'551652980000000.0'","b'51'","b'9.0490055'","b'-79.37922'","b'11207.047'","b'2020-05-06T18:56:58.611Z'"
"b'3.5235934'","b'1.5479916'","b'1.0309178'","b'394349940000000.0'","b'1698366400000000.0'","b'550311600000000.0'","b'52'","b'9.033354'","b'-79.56595'","b'9380.627'","b'2020-05-07T19:40:03.494Z'"
"b'2.1749015'","b'1.4266497'","b'0.90899014'","b'348114750000000.0'","b'1698366400000000.0'","b'552803500000000.0'","b'78'","b'9.02926'","b'-79.34941'","b'14523.823'","b'2020-05-08T18:44:45.260Z'"
"b'2.8136516'","b'1.3732146'","b'1.3904101'","b'290287300000000.0'","b'1698366400000000.0'","b'550311880000000.0'","b'48'","b'8.967074'","b'-79.65927'","b'21283.479'","b'2020-05-09T19:27:42.144Z'"
"b'2.4975784'","b'1.3572717'","b'1.0202576'","b'347201930000000.0'","b'1698366400000000.0'","b'549981970000000.0'","b'38'","b'9.068376'","b'-79.42223'","b'7090.287'","b'2020-05-10T18:32:35.913Z'"
"b'2.4047363'","b'1.2857062'","b'1.010217'","b'339325230000000.0'","b'1698366400000000.0'","b'550587960000000.0'","b'52'","b'9.0852165'","b'-79.353325'","b'14824.452'","b'2020-05-11T19:15:24.199Z'"
"b'2.9966867'","b'1.5137327'","b'1.281679'","b'330170780000000.0'","b'1698366400000000.0'","b'550528900000000.0'","b'40'","b'9.010821'","b'-79.37611'","b'12033.005'","b'2020-05-12T18:20:25.979Z'"
"b'2.1190085'","b'1.1902533'","b'0.60990417'","b'408569100000000.0'","b'1698366400000000.0'","b'546660080000000.0'","b'47'","b'9.076792'","b'-79.59797'","b'13417.876'","b'2020-05-13T19:03:06.865Z'"
"b'3.7273004'","b'1.6459438'","b'1.7647717'","b'287494900000000.0'","b'1698366400000000.0'","b'544836600000000.0'","b'37'","b'9.03191'","b'-79.53646'","b'6194.6445'","b'2020-05-14T18:08:18.642Z'"
"b'3.8377752'","b'1.6198441'","b'1.4413943'","b'338689180000000.0'","b'1698366400000000.0'","b'548860850000000.0'","b'53'","b'8.927842'","b'-79.881775'","b'45823.984'","b'2020-05-14T19:46:11.757Z'"
"b'2.1018472'","b'1.286689'","b'0.43249726'","b'452237100000000.0'","b'1698366400000000.0'","b'550177000000000.0'","b'59'","b'9.055411'","b'-79.39721'","b'9323.855'","b'2020-05-15T18:50:51.528Z'"
"b'3.0913053'","b'1.461456'","b'1.1350672'","b'356136540000000.0'","b'1698366400000000.0'","b'548861000000000.0'","b'52'","b'9.003198'","b'-79.84917'","b'40672.758'","b'2020-05-16T19:33:52.420Z'"
"b'2.3146634'","b'1.3071048'","b'0.44145787'","b'459196160000000.0'","b'1698366400000000.0'","b'550587830000000.0'","b'41'","b'9.0889225'","b'-79.361206'","b'14155.062'","b'2020-05-17T18:38:40.194Z'"
"b'2.573936'","b'1.309261'","b'1.4604787'","b'256137220000000.0'","b'1698366400000000.0'","b'550311740000000.0'","b'47'","b'8.947173'","b'-79.66545'","b'22844.13'","b'2020-05-18T19:21:31.085Z'"
"b'2.737093'","b'1.4179695'","b'0.72124857'","b'416773300000000.0'","b'1698366400000000.0'","b'545742570000000.0'","b'36'","b'9.068214'","b'-79.499245'","b'3538.0078'","b'2020-05-19T18:26:30.858Z'"
"b'2.2361176'","b'1.2452605'","b'1.8714426'","b'126419275000000.0'","b'1698366400000000.0'","b'550128000000000.0'","b'52'","b'9.066637'","b'-79.383675'","b'11035.88'","b'2020-05-20T19:09:13.744Z'"
"b'3.4228578'","b'1.5845191'","b'2.065747'","b'217112740000000.0'","b'1698366400000000.0'","b'544836600000000.0'","b'37'","b'8.958881'","b'-79.76011'","b'32025.42'","b'2020-05-21T18:14:21.519Z'"
"b'2.0843015'","b'1.1214558'","b'1.1273849'","b'287191580000000.0'","b'1698366400000000.0'","b'554104470000000.0'","b'34'","b'9.004804'","b'-79.36923'","b'12955.988'","b'2020-05-22T18:56:56.405Z'"
"b'3.522774'","b'1.5475116'","b'1.4749818'","b'318807240000000.0'","b'1698366400000000.0'","b'550137130000000.0'","b'50'","b'9.004375'","b'-79.56041'","b'9675.007'","b'2020-05-23T19:40:01.297Z'"
"b'2.1810343'","b'1.295409'","b'0.8699983'","b'357791980000000.0'","b'1698366400000000.0'","b'552803500000000.0'","b'50'","b'9.013636'","b'-79.34291'","b'15493.488'","b'2020-05-24T18:44:43.072Z'"
"b'2.8235946'","b'1.3757676'","b'0.7218529'","b'421738680000000.0'","b'1698366400000000.0'","b'550311880000000.0'","b'47'","b'8.966065'","b'-79.65632'","b'21030.248'","b'2020-05-25T19:27:39.960Z'"
"b'2.5045717'","b'1.3462144'","b'0.95282555'","b'360172470000000.0'","b'1698366400000000.0'","b'547745230000000.0'","b'36'","b'9.0808115'","b'-79.41964'","b'8003.688'","b'2020-05-26T18:32:33.735Z'"
"b'2.4169967'","b'1.2531581'","b'0.60865134'","b'428667000000000.0'","b'1698366400000000.0'","b'552803360000000.0'","b'44'","b'9.027748'","b'-79.3363'","b'15973.198'","b'2020-05-27T19:15:20.625Z'"
"b'3.0074008'","b'1.481984'","b'0.8820734'","b'400627440000000.0'","b'1698366400000000.0'","b'547745370000000.0'","b'36'","b'9.086309'","b'-79.38647'","b'11493.512'","b'2020-05-28T18:20:24.403Z'"
"b'2.1241593'","b'1.1991037'","b'0.8294152'","b'357785540000000.0'","b'1698366400000000.0'","b'547745230000000.0'","b'48'","b'9.047113'","b'-79.58368'","b'11292.954'","b'2020-05-29T19:03:03.292Z'"
